This quiz sucks and Harry Potter sucks ok bye..,0
man i loved brokeback mountain!,1
I love Brokeback Mountain....,1
"So as felicia's mom is cleaning the table, felicia grabs my keys and we dash out like freakin mission impossible.",1
"As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.",0
Brokeback Mountain was beautiful and heartbreaking.....,1
I miss Harry Potter and Japenese food..,1
"I love the Harry Potter series if you can count that as "" a "" book, also Catcher In the Tye, Jane Eyre, The Virgin Suicides, yeah...",1
the last stand and Mission Impossible 3 both were awesome movies.,1
The Da Vinci Code is awesome!!,1
"As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.",0
Firstly I'll say that I really loved the first mission impossible a lot..,1
This quiz sucks and Harry Potter sucks ok bye..,0
"Anyway, thats why I love "" Brokeback Mountain.",1
because i just SO DEARLY LOVE brokeback mountain..,1
I love Harry Potter.,1
I loved the Da Vinci Code and the like.,1
The Da Vinci Code sucked big time.,0
Brokeback Mountain was an AWESOME movie.,1
Brokeback Mountain was an AWESOME movie.,1
"The Da Vinci Code was awesome, I can't wait to read it...",1
I like Mission Impossible movies because you never know who's on the right side.,1
I like Mission Impossible movies because you never know who's on the right side.,1
i heard da vinci code sucked soo much only 2.5 stars:,0
"I hate Harry Potter, it's retarted, gay and stupid and there's only one Black guy...",0
I think I hate Harry Potter because it outshines much better reading material out there and the movies are just plain stupid to begin with.,0
the people who are worth it know how much i love the da vinci code.,1
I love Harry Potter..,1
Brokeback Mountain was so awesome.,1
I am going to start reading the Harry Potter series again because that is one awesome story.,1
"I love the Harry Potter series if you can count that as "" a "" book, also Catcher In the Tye, Jane Eyre, The Virgin Suicides, yeah...",1
These Harry Potter movies really suck.,0
"Da Vinci Code = Up, Up, Down, Down, Left, Right, Left, Right, B, A, SUCK!",0
Brokeback Mountain was so awesome.,1
"I just came back from the movies, my mom and I watched Mission Impossible 3, which was an awesome movie.",1
The Da Vinci Code is awesome!!,1
"I heard Emma Watson might not be returning for the next Harry Potter film, which would really suck.",0
i love kirsten / leah / kate escapades and mission impossible tom as well...,1
"I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun.",1
"As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.",0
da vinci code sucks...,0
Harry Potter is a story of good conquering evil and the friendships that are formed along the way...,1
"Harry Potter dragged Draco Malfoy É?? s trousers down past his hips and sucked him into his throat with vigor, making whimpering noises and panting and groaning around the blonds rock-hard, aching cock...",0
